,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Bluff,100,NZ,1586901773,94,-46.6,168.33,44.01,4.0
1,Esperance,90,AU,1586901773,93,-33.87,121.9,62.6,6.93
2,Sambava,86,MG,1586901773,84,-14.27,50.17,75.45,7.38
3,La Ronge,20,CA,1586901773,39,55.1,-105.28,30.2,10.29
4,Sumbe,9,AO,1586901773,86,-11.21,13.84,77.56,3.49
5,Yellowknife,90,CA,1586901687,79,62.46,-114.35,30.0,3.36
6,Port Alfred,85,ZA,1586901773,96,-33.59,26.89,62.01,4.0
7,Atuona,35,PF,1586901773,68,-9.8,-139.03,82.35,6.22
8,Avarua,68,CK,1586901727,61,-21.21,-159.78,80.6,6.93
9,San Patricio,5,MX,1586901773,73,19.22,-104.7,77.0,11.41
10,Tuktoyaktuk,90,CA,1586901773,92,69.45,-133.04,24.8,14.99
11,Saskylakh,88,RU,1586901774,90,71.92,114.08,-2.31,15.77
12,Blythe,1,US,1586901769,8,33.61,-114.6,81.0,19.46
13,Saint Anthony,75,US,1586901574,39,45.02,-93.22,30.99,20.8
14,Eirunepé,77,BR,1586901774,67,-6.66,-69.87,86.49,1.61
15,Ribeira Grande,75,PT,1586901774,76,38.52,-28.7,53.6,17.22
16,Envira,27,BR,1586901774,69,-7.3,-70.22,84.69,1.3
17,Tuensang,9,IN,1586901774,43,26.28,94.83,67.89,2.89
18,Batken,100,KG,1586901774,45,39.83,71.0,33.93,2.33
19,Ushuaia,40,AR,1586901774,76,-54.8,-68.3,48.2,5.7
20,Gevgelija,98,MK,1586901774,65,41.14,22.5,60.01,15.01
21,Saint-Philippe,1,RE,1586901774,88,-21.36,55.77,75.2,19.46
22,Carnarvon,35,AU,1586901774,69,-24.87,113.63,73.4,19.46
23,Mareeba,40,AU,1586901774,78,-17.0,145.43,77.0,12.75
24,Cape Town,0,ZA,1586901602,82,-33.93,18.42,62.01,9.17
25,Rikitea,74,PF,1586901775,65,-23.12,-134.97,76.44,6.76
26,Longyearbyen,75,SJ,1586901750,68,78.22,15.64,30.2,24.16
27,Vila Verde,70,PT,1586901775,87,41.65,-8.44,62.01,2.73
28,Bredasdorp,0,ZA,1586901775,93,-34.53,20.04,53.01,3.36
29,Ostrovnoy,89,RU,1586901775,88,68.05,39.51,34.65,14.56
30,Qaanaaq,100,GL,1586901775,94,77.48,-69.36,20.57,6.89
31,Port Elizabeth,18,ZA,1586901775,93,-33.92,25.57,62.6,4.7
32,Lebedyn,100,UA,1586901775,81,50.59,34.48,37.49,13.38
33,Westport,1,US,1586901723,45,41.14,-73.36,57.2,8.05
34,Jamestown,90,US,1586901775,41,42.1,-79.24,41.0,11.41
35,Hobart,75,AU,1586901527,87,-42.88,147.33,59.0,4.7
36,Mar del Plata,20,AR,1586901603,72,-38.0,-57.56,62.01,14.99
37,Bairnsdale,50,AU,1586901775,92,-37.83,147.62,52.0,3.22
38,Yangi Marg`ilon,100,UZ,1586901775,87,40.43,71.72,55.4,2.24
39,Albany,75,US,1586901604,24,42.6,-73.97,52.0,12.75
40,Padang,66,ID,1586901776,73,-0.95,100.35,78.53,2.75
41,Plouzané,0,FR,1586901776,81,48.38,-4.62,46.4,13.87
42,Bengkulu,95,ID,1586901776,82,-3.8,102.27,78.44,3.74
43,Upernavik,100,GL,1586901776,95,72.79,-56.15,23.95,2.82
44,Vaini,75,TO,1586901776,78,-21.2,-175.2,78.8,10.29
45,Saint Paul Harbor,90,US,1586901687,87,57.79,-152.41,42.8,8.05
46,Praia,24,CV,1586901776,69,14.92,-23.51,73.4,19.46
47,Bubaque,36,GW,1586901776,67,11.28,-15.83,79.38,16.96
48,Soavinandriana,5,MG,1586901776,63,-19.17,46.73,54.93,5.41
49,Aksu,67,CN,1586901776,17,41.12,80.26,64.98,5.28
50,Katsuura,0,JP,1586901776,45,35.13,140.3,50.0,3.36
51,Talnakh,27,RU,1586901776,77,69.49,88.4,-0.4,20.13
52,Menomonie,40,US,1586901574,68,44.88,-91.92,32.0,9.17
53,Leningradskiy,97,RU,1586901776,92,69.38,178.42,10.56,3.8
54,Torbay,90,CA,1586901776,93,47.67,-52.73,48.0,19.46
55,Mandaguaçu,8,BR,1586901776,74,-23.35,-52.1,72.0,8.01
56,Preobrazheniye,29,RU,1586901776,73,42.9,133.91,37.42,8.63
57,Hervey Bay,75,AU,1586901777,88,-25.3,152.85,68.0,6.93
58,Chokurdakh,1,RU,1586901777,90,70.63,147.92,-12.05,4.99
59,Necochea,0,AR,1586901777,64,-38.55,-58.74,57.99,11.99
60,Butaritari,34,KI,1586901777,80,3.07,172.79,83.57,18.39
61,Ampanihy,0,MG,1586901777,61,-24.7,44.75,76.78,4.83
62,Tomislavgrad,74,BA,1586901777,73,43.72,17.23,28.08,12.5
63,Kaitangata,66,NZ,1586901777,79,-46.28,169.85,48.99,4.0
64,Mataura,99,NZ,1586901777,94,-46.19,168.86,44.01,4.0
65,Kasangulu,79,CD,1586901777,83,-4.59,15.17,78.8,5.82
66,Lubao,75,PH,1586901777,83,14.92,120.55,78.01,2.24
67,Kargopol',100,RU,1586901777,91,61.51,38.95,32.63,3.29
68,Panabá,0,MX,1586901562,21,21.28,-88.27,100.78,12.55
69,Busselton,67,AU,1586901777,59,-33.65,115.33,62.01,16.91
70,Santa Cruz de Barahona,6,DO,1586901777,58,18.21,-71.1,84.96,10.74
71,Helena,90,US,1586901777,42,46.59,-112.04,46.99,18.34
72,Mongo,0,TD,1586901777,11,12.18,18.69,85.28,8.46
73,El Alto,19,PE,1586901777,69,-4.27,-81.21,75.42,7.83
74,Kalakamati,36,BW,1586901777,33,-20.59,27.31,71.76,4.7
75,Oranjestad,20,AW,1586901778,58,12.52,-70.03,86.0,18.34
76,Barrow,90,US,1586901778,92,71.29,-156.79,12.2,4.7
77,Cedar City,1,US,1586901642,14,37.68,-113.06,51.8,5.82
78,Sarkand,100,KZ,1586901778,51,45.41,79.92,51.33,3.91
79,Lebu,49,CL,1586901778,63,-37.62,-73.65,59.13,5.68
80,Norman Wells,75,CA,1586901778,64,65.28,-126.83,35.6,18.34
81,Hilo,40,US,1586901605,74,19.73,-155.09,78.8,8.05
82,Broken Hill,35,AU,1586901778,46,-31.95,141.43,53.6,9.17
83,New Norfolk,75,AU,1586901778,87,-42.78,147.06,59.0,4.7
84,Kavieng,86,PG,1586901778,77,-2.57,150.8,81.73,5.57
85,Nālūt,100,LY,1586901778,23,30.33,10.85,79.36,7.65
86,Provideniya,90,RU,1586901778,80,64.38,-173.3,30.2,13.42
87,Kendari,82,ID,1586901778,91,-3.94,122.5,75.49,2.93
88,Karratha,21,AU,1586901778,71,-20.74,116.85,81.64,5.41
89,Beira,0,MZ,1586901778,89,-19.84,34.84,76.39,9.69
90,Panyutyne,100,UA,1586901779,67,48.93,36.28,50.31,14.27
91,Vila Franca do Campo,75,PT,1586901779,72,37.72,-25.43,59.0,4.7
92,Sakakah,75,SA,1586901779,77,29.97,40.21,59.0,10.29
93,Clyde River,20,CA,1586901779,92,70.47,-68.59,8.6,2.24
94,Dikson,22,RU,1586901779,94,73.51,80.55,5.97,9.93
95,Praia,24,CV,1586901779,69,14.92,-23.51,73.4,19.46
96,Thompson,20,CA,1586901779,41,55.74,-97.86,23.0,12.75
97,Youkounkoun,54,GN,1586901779,21,12.53,-13.13,90.54,2.44
98,Ancud,40,CL,1586901779,100,-41.87,-73.82,51.8,6.93
99,Puerto Ayora,75,EC,1586901779,66,-0.74,-90.35,86.0,6.93
100,Poum,100,NC,1586901779,79,-20.23,164.02,78.48,13.27
101,Valdosta,75,US,1586901491,83,30.83,-83.28,80.6,6.93
102,Dana Point,20,US,1586901779,56,33.47,-117.7,80.6,9.17
103,Lompoc,1,US,1586901779,72,34.64,-120.46,75.0,14.99
104,Hermanus,0,ZA,1586901779,93,-34.42,19.23,59.0,7.16
105,Mossamedes,1,AO,1586901779,69,-15.2,12.15,74.41,5.08
106,Semīrom,32,IR,1586901780,24,31.42,51.57,41.29,2.28
107,Kalashnikovo,79,RU,1586901780,78,57.28,35.23,34.3,6.64
108,Brzesko,75,PL,1586901780,59,49.97,20.61,41.0,5.82
109,Hithadhoo,66,MV,1586901780,65,-0.6,73.08,84.9,2.93
110,Arlit,15,NE,1586901780,10,18.74,7.39,90.5,11.92
111,Flinders,36,AU,1586901780,67,-34.58,150.86,68.0,11.41
112,Djibouti,1,DJ,1586901780,79,11.5,42.5,84.2,3.36
113,Amazar,0,RU,1586901780,83,53.86,120.88,30.02,3.04
114,Hamilton,75,US,1586901668,36,39.18,-84.53,48.99,12.75
115,Sabang,99,ID,1586901780,77,5.89,95.32,82.99,5.82
116,Srednekolymsk,4,RU,1586901780,89,67.45,153.68,-5.64,0.85
117,Castro,25,BR,1586901780,65,-24.79,-50.01,62.85,3.58
118,Vila Velha,10,BR,1586901780,73,-20.33,-40.29,77.0,6.93
119,Matara,25,LK,1586901781,88,5.95,80.54,77.72,4.14
120,Vardø,75,NO,1586901781,93,70.37,31.11,35.6,10.29
121,Portland,20,US,1586901297,23,45.52,-122.68,69.01,5.82
122,Hambantota,74,LK,1586901781,82,6.12,81.12,80.73,6.04
123,Coquimbo,75,CL,1586901781,77,-29.95,-71.34,60.8,9.17
124,Hay River,90,CA,1586901781,74,60.82,-115.8,30.2,6.93
125,Xingtai,34,CN,1586901781,64,37.06,114.49,55.06,6.17
126,Punta Arenas,75,CL,1586901781,71,-53.15,-70.92,51.8,8.05
127,Iqaluit,75,CA,1586901781,57,63.75,-68.51,19.4,10.29
128,Bethel,1,US,1586901781,34,41.37,-73.41,57.0,6.53
129,Sangīn,0,AF,1586901781,50,32.07,64.84,62.4,5.06
130,Departamento de Maldonado,90,UY,1586901781,93,-34.67,-54.92,62.01,28.86
131,Palmer,75,US,1586901746,22,42.16,-72.33,57.99,3.36
132,Kamyshevatskaya,100,RU,1586901781,71,46.41,37.96,52.38,18.57
133,Sunbury,84,AU,1586901781,67,-37.58,144.73,64.0,9.17
134,Cristóbal Obregón,75,MX,1586901782,24,16.35,-93.53,100.4,6.93
135,Lavrentiya,100,RU,1586901782,96,65.58,-171.0,28.36,10.31
136,Bambous Virieux,75,MU,1586901782,83,-20.34,57.76,78.01,14.99
137,Sena Madureira,60,BR,1586901782,60,-9.07,-68.66,86.94,2.44
138,Qaqortoq,40,GL,1586901782,91,60.72,-46.03,32.0,2.24
139,Zhangaözen,0,KZ,1586901782,45,43.3,52.8,48.29,11.12
140,Vanimo,99,PG,1586901782,83,-2.67,141.3,79.38,5.32
141,Horodkivka,81,UA,1586901782,70,49.91,28.98,36.36,8.63
142,Buala,16,SB,1586901782,77,-8.14,159.59,83.68,5.86
143,Sobolevo,17,RU,1586901782,78,54.43,31.9,34.32,7.74
144,Fort Nelson,75,CA,1586901782,75,58.81,-122.7,42.8,13.87
145,Bathsheba,40,BB,1586901782,65,13.22,-59.52,82.4,14.99
146,Papara,40,BR,1586901782,74,-3.98,-38.73,84.2,10.29
147,Sayyan,9,YE,1586901782,37,15.17,44.32,60.39,3.6
148,Tianpeng,31,CN,1586901782,100,30.99,103.94,62.01,2.13
149,Faanui,24,PF,1586901782,72,-16.48,-151.75,82.69,7.43
150,Airai,86,TL,1586901782,68,-8.93,125.41,60.4,2.3
151,Tasiilaq,2,GL,1586901782,43,65.61,-37.64,33.8,5.82
152,Nishihara,75,JP,1586901783,63,26.18,127.76,62.6,2.33
153,Natal,75,BR,1586901783,83,-5.79,-35.21,82.4,9.17
154,Sioux Lookout,75,CA,1586901783,41,50.1,-91.92,23.0,11.41
155,Sur,32,OM,1586901783,48,22.57,59.53,82.65,8.61
156,Três Lagoas,57,BR,1586901655,77,-20.75,-51.68,75.6,6.11
157,Kamenka,25,RU,1586901783,46,51.32,42.77,42.01,7.0
158,Tura,0,IN,1586901783,51,25.52,90.22,74.39,4.45
159,Ayagoz,100,KZ,1586901783,71,47.97,80.44,46.44,5.95
160,Codrington,99,AU,1586901783,45,-38.27,141.97,62.53,14.18
161,Kupang,20,ID,1586901664,88,-10.17,123.58,77.0,8.05
162,Kamina,99,CD,1586901783,69,-8.74,24.99,67.44,1.97
163,Lufilufi,40,WS,1586901783,70,-13.87,-171.6,87.8,10.29
164,Hong Kong,20,HK,1586901784,72,22.29,114.16,68.0,4.7
165,Nacogdoches,1,US,1586901784,45,31.6,-94.63,64.99,12.75
166,La Santisima Trinidad,90,BO,1586901784,94,-14.83,-64.9,71.6,9.17
167,Mazatlán,5,MX,1586901714,44,23.22,-106.42,78.8,9.17
168,Kruisfontein,6,ZA,1586901784,82,-34.0,24.73,56.59,5.61
169,Laurel,90,US,1586901784,49,39.1,-76.85,57.99,3.36
170,Forssa,90,FI,1586901784,92,60.81,23.62,33.01,3.36
171,Berzasca,99,RO,1586901784,81,44.65,21.95,37.99,8.25
172,Mopti,98,ML,1586901784,29,14.67,-4.0,91.4,13.87
173,Elizabeth City,1,US,1586901784,38,36.29,-76.25,62.6,9.17
174,Bowen,75,AU,1586901784,88,-20.02,148.23,78.01,10.29
175,Arraial do Cabo,40,BR,1586901784,78,-22.97,-42.03,77.0,17.22
176,Piaçabuçu,95,BR,1586901784,68,-10.41,-36.43,78.93,5.97
177,Cidreira,10,BR,1586901698,64,-30.18,-50.21,66.11,22.12
178,Coyhaique,100,CL,1586901785,71,-45.58,-72.07,53.6,6.93
179,Kloulklubed,75,PW,1586901624,94,7.04,134.26,77.0,5.82
180,Novo Aripuanã,79,BR,1586901785,79,-5.12,-60.38,81.05,2.91
181,Launceston,90,AU,1586901785,87,-41.45,147.17,55.4,4.7
182,Kirakira,89,SB,1586901785,75,-10.45,161.92,83.17,6.55
183,Araouane,98,ML,1586901785,41,18.9,-3.53,81.72,18.72
184,Newcastle,0,AU,1586901623,93,-32.93,151.78,61.0,5.82
185,Namwala,77,ZM,1586901785,55,-15.75,26.44,67.33,2.66
186,College,75,US,1586901785,48,64.86,-147.8,44.6,6.93
187,Batagay-Alyta,69,RU,1586901785,86,67.8,130.41,10.09,3.13
188,Morondava,1,MG,1586901785,80,-20.28,44.28,79.34,5.44
189,Hailun,0,CN,1586901785,68,47.45,126.93,35.51,9.01
190,Ketchikan,90,US,1586901785,93,55.34,-131.65,48.2,6.93
191,George Town,20,MY,1586901785,94,5.41,100.34,80.6,1.99
192,Kishapu,96,TZ,1586901785,65,-3.62,33.87,66.56,4.18
193,Changji,75,CN,1586901785,71,44.02,87.32,57.2,2.24
194,Ponta do Sol,20,PT,1586901785,42,32.67,-17.1,62.6,8.05
195,Oussouye,92,SN,1586901786,78,12.48,-16.55,80.6,4.7
196,Salinópolis,100,BR,1586901786,86,-0.61,-47.36,76.53,5.08
197,Nioro,85,GM,1586901786,22,13.35,-15.75,86.72,10.65
198,Caravelas,15,BR,1586901679,85,-17.71,-39.25,77.61,5.7
199,Shebalino,2,RU,1586901786,63,51.29,85.68,35.98,2.53
200,Cayenne,90,GF,1586901573,65,4.93,-52.33,82.4,8.05
201,Breves,100,BR,1586901786,98,-1.68,-50.48,72.61,1.43
202,São Gabriel da Cachoeira,99,BR,1586901786,88,-0.13,-67.09,75.79,3.42
203,Kristiansund,100,NO,1586901786,87,63.11,7.73,42.8,29.97
204,Allanridge,14,ZA,1586901786,57,-27.75,26.64,56.37,8.01
205,Umluj,0,SA,1586901786,57,25.02,37.27,69.51,5.32
206,Champerico,40,GT,1586901786,49,14.3,-91.92,93.2,9.17
207,Los Llanos de Aridane,75,ES,1586901786,72,28.66,-17.92,66.2,3.36
208,Ouésso,63,CG,1586901786,66,1.61,16.05,77.5,0.6
209,Belmopan,3,BZ,1586901497,39,17.25,-88.77,100.4,6.93
210,Muhos,0,FI,1586901786,100,64.81,25.99,27.0,3.36
211,Batemans Bay,69,AU,1586901786,100,-35.72,150.18,60.01,3.44
212,East London,100,ZA,1586901786,71,-33.02,27.91,65.12,4.25
213,Hofn,100,IS,1586901597,73,64.25,-15.21,38.41,16.31
214,Jiayuguan City,43,CN,1586901787,21,39.82,98.3,54.27,6.49
215,Severo-Kuril'sk,100,RU,1586901787,93,50.68,156.12,29.91,12.48
216,Souillac,75,MU,1586901787,83,-20.52,57.52,78.01,14.99
217,Jacareacanga,99,BR,1586901787,85,-6.22,-57.75,80.01,1.83
218,Kiryat Gat,75,IL,1586901787,82,31.61,34.76,64.4,2.24
219,Belaya Gora,0,RU,1586901787,89,68.53,146.42,-3.01,4.12
220,Lac du Bonnet,98,CA,1586901787,56,50.25,-96.06,27.0,9.62
221,Guía de Isora,75,ES,1586901787,68,28.21,-16.78,68.0,6.93
222,Saldanha,0,ZA,1586901787,82,-33.01,17.94,59.0,3.36
223,Nuuk,75,GL,1586901787,93,64.18,-51.72,32.0,2.44
224,Vestmannaeyjar,100,IS,1586901763,72,63.44,-20.27,41.14,17.58
225,Inuvik,90,CA,1586901787,69,68.35,-133.72,35.6,6.93
226,Vila,79,PT,1586901787,87,42.03,-8.16,60.01,6.93
227,Wer,82,IN,1586901788,18,27.0,77.17,87.22,2.71
228,Hasaki,20,JP,1586901709,75,35.73,140.83,43.0,3.36
229,Ahipara,61,NZ,1586901788,68,-35.17,173.17,61.21,17.65
230,Dharmadam,9,IN,1586901788,84,11.78,75.43,81.36,3.83
231,Ranong,54,TH,1586901788,81,9.97,98.63,79.86,3.31
232,Xicoténcatl,50,MX,1586901788,41,23.02,-98.88,96.01,15.01
233,Kapaa,1,US,1586901788,78,22.08,-159.32,80.01,11.41
234,Verkhoyansk,100,RU,1586901665,93,67.54,133.38,15.17,4.38
235,Solnechnyy,79,RU,1586901788,83,50.72,136.63,30.51,4.16
236,Saint-Pierre,2,RE,1586901788,88,-21.34,55.48,75.2,19.46
237,Ormara,0,PK,1586901788,73,25.21,64.64,78.96,9.6
238,Tando Muhammad Khan,83,PK,1586901620,68,25.12,68.54,78.37,13.94
239,Quatre Cocos,75,MU,1586901788,83,-20.21,57.76,78.01,14.99
240,Istria,100,RO,1586901788,86,44.57,28.72,48.2,17.22
241,Cabo San Lucas,5,MX,1586901516,38,22.89,-109.91,86.0,6.93
242,Porto-Novo,40,BJ,1586901788,79,6.5,2.6,86.0,11.41
243,Belize,3,BZ,1586901788,39,17.25,-88.75,100.4,6.93
244,Sangerhausen,24,DE,1586901789,64,51.47,11.3,39.99,8.05
245,San Vicente,0,AR,1586901789,43,-26.62,-54.13,60.91,3.4
246,Sitka,90,US,1586901789,87,57.05,-135.33,46.4,3.36
247,Pecangakan,21,ID,1586901789,81,-6.93,109.12,77.72,4.52
248,Ponta Delgada,75,PT,1586901789,72,37.73,-25.67,59.0,4.7
249,Pisco,30,PE,1586901789,30,-13.7,-76.22,72.0,9.17
250,Mayumba,100,GA,1586901789,87,-3.43,10.66,80.73,6.4
251,Namatanai,100,PG,1586901789,77,-3.67,152.43,81.36,5.39
252,São Filipe,77,CV,1586901789,75,14.9,-24.5,73.09,15.75
253,Salalah,40,OM,1586901789,69,17.02,54.09,82.4,5.82
254,Bousso,2,TD,1586901789,12,10.48,16.71,89.76,5.97
255,Beihai,99,CN,1586901789,74,21.48,109.1,69.4,8.57
256,Waliso,100,ET,1586901789,49,8.53,37.98,61.83,1.32
257,Mandalgovi,0,MN,1586901789,49,45.76,106.27,29.34,14.12
258,Inírida,82,CO,1586901789,54,3.87,-67.92,90.97,1.14
259,Mount Isa,96,AU,1586901780,49,-20.73,139.5,68.0,3.36
260,Suntar,81,RU,1586901790,93,62.14,117.63,31.89,5.06
261,Florence,4,IT,1586901675,47,43.77,11.25,57.2,5.82
262,Charters Towers,0,AU,1586901790,77,-20.1,146.27,65.1,5.46
263,Tonantins,78,BR,1586901790,90,-2.87,-67.8,80.4,2.75
264,Port Victoria,100,KE,1586901790,57,0.09,33.98,73.78,11.25
265,Starokostiantyniv,3,UA,1586901790,72,49.76,27.2,34.86,8.93
266,Shipitsyno,93,RU,1586901790,86,61.28,46.52,35.98,10.36
267,Tete,3,MZ,1586901790,61,-16.16,33.59,82.4,4.7
268,Hastings,0,GB,1586901790,81,50.86,0.57,42.8,10.29
269,Jasper,90,US,1586901517,36,37.2,-94.35,51.01,6.93
270,Togur,59,RU,1586901790,94,58.36,82.83,33.94,2.84
271,Jumla,92,NP,1586901790,33,29.27,82.18,48.27,3.6
272,Plungė,43,LT,1586901790,80,55.91,21.84,41.0,6.93
273,Teacapan,93,MX,1586901790,35,22.55,-105.75,82.69,11.54
274,Mount Gambier,98,AU,1586901790,44,-37.83,140.77,60.8,10.29
275,Neuquén,36,AR,1586901791,46,-38.95,-68.06,69.8,1.12
276,Khasan,3,RU,1586901791,57,42.43,130.64,45.12,5.44
277,Rāvar,0,IR,1586901791,35,31.27,56.81,57.7,2.75
278,Sechura,26,PE,1586901791,65,-5.56,-80.82,78.01,11.03
279,Plettenberg Bay,0,ZA,1586901791,77,-34.05,23.37,59.63,3.91
280,Oranjemund,62,NA,1586901791,84,-28.55,16.43,57.06,11.83
281,Shiyan,0,CN,1586901791,66,32.65,110.78,54.82,2.24
282,Vaitape,23,PF,1586901791,72,-16.52,-151.75,83.52,7.27
283,Nagua,40,DO,1586901791,78,19.38,-69.85,82.4,18.34
284,Wanxian,0,CN,1586901791,65,30.8,108.39,59.11,3.09
285,Kahului,1,US,1586901791,74,20.89,-156.47,78.8,4.7
286,Kangaatsiaq,100,GL,1586901791,94,68.31,-53.46,25.92,18.68
287,Erzurum Province,0,TR,1586901515,68,40.0,41.5,26.6,2.24
